Parishref,ParishId,ParishSystemId,Parish_Name,Parish_TLA,PFID,Medieval_Diocese,Medieval_Deanery,Parish_County,Parish_Burgh,Parish_NGR_Letters,Parish_NGR_Easting,Parish_NGR_Northing,Date Comment,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"P/ST/109",109,"ST","Kinghorn (Easter)","KGH",109,"Merse","Fothriff",,,"NT",272,869,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1090",1090,"ST","Kinnettes","KSX",1090,"Ross",,,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1091",1091,"ST","Kilsyth","KSY",1091,"Teviotdale","Lennox",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1093",1093,"ST","Kirkintilloch","KTL",1093,"Teviotdale","Lennox",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1094",1094,"ST","Kelton","KTN",1094,"Rhinns","Desnes",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1095",1095,"ST","Kettle","KTT",1095,"Merse","Fothriff",,,"NO",273,84,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1096",1096,"ST","Kirkurd","KUD",1096,"Teviotdale","Peebles",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1097",1097,"ST","Kilbucho","KUX",1097,"Teviotdale","Peebles",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1098",1098,"ST","Kilkivan","KVX",1098,"Morvern","Kintyre",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1099",1099,"ST","Kilwinning","KWG",1099,"Teviotdale","Kyle & Cunningham",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1100",1100,"ST","Killarow","KWX",1100,"Morvern","Kintyre",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1102",1102,"ST","Kilberry","KXB",1102,"Morvern","Kintyre",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1103",1103,"ST","Kilmichael","KXC",1103,"Morvern","Kintyre",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1104",1104,"ST","Kincardine","KXE",1104,"Strathspey",,,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1105",1105,"ST","Kilfinichen","KXF",1105,,,,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1106",1106,"ST","Kingussie","KXG",1106,"Strathspey",,,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1107",1107,"ST","Kirkcormack","KXK",1107,"Rhinns","Desnes",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1108",1108,"ST","Kilmore","KXO",1108,"Morvern","Lorn",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1109",1109,"ST","Kiltarlity","KXT",1109,"Strathspey","Inverness",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1111",1111,"ST","Kirkcaldy","KXY",1111,"Merse","Fothriff",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1112",1112,"ST","Kilchenzie","KZX",1112,"Morvern","Kintyre",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1113",1113,"ST","Kinnaird","XKA",1113,"Merse","Angus",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1114",1114,"ST","Kirkbuddo","XKB",1114,,,,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
