Measured Point,Vol.,Conc.,Cond. 185,Temp. 185,Cond. 187,Temp. 187,
,ml,mg/l,µS/cm,°C,µS/cm,°C,
0,250.0,0.00,105.8,10.7,105.4,10.7,
1,250.5,19.96,220.7,10.7,220.9,10.6,
2,251.0,39.84,335.8,10.7,334.7,10.6,
3,251.5,59.64,448.4,10.7,447.0,10.6,
4,252.0,79.37,562.2,10.7,560.3,10.6,
5,252.5,99.01,685.4,10.7,683.1,10.6,
Date/Time,Measured Point,Cond. 185,Cond. 187,Temp. 185,Temp. 187,
6/18/2016 10:15:22 AM,226,13.2,13.2,14.0,13.9,
6/18/2016 10:15:23 AM,227,13.2,13.2,14.0,13.9,
6/18/2016 10:15:24 AM,228,13.2,13.2,14.0,13.9,
6/18/2016 10:15:25 AM,229,13.2,13.2,14.0,13.9,
6/18/2016 10:15:26 AM,230,13.2,13.2,14.0,13.9,
6/18/2016 10:15:27 AM,231,13.2,13.2,14.0,13.9,
6/18/2016 10:15:28 AM,232,13.2,13.2,14.0,13.9,
6/18/2016 10:15:29 AM,233,13.2,13.2,14.0,13.9,
6/18/2016 10:15:30 AM,234,13.2,13.2,14.0,13.9,
6/18/2016 10:15:31 AM,235,13.2,13.2,14.0,13.9,
6/18/2016 10:15:32 AM,236,13.2,13.2,14.0,13.9,
6/18/2016 10:15:33 AM,237,13.2,13.2,14.0,13.9,
6/18/2016 10:15:34 AM,238,13.2,13.2,14.0,13.9,
6/18/2016 10:15:35 AM,239,13.2,13.2,14.0,13.9,
6/18/2016 10:15:36 AM,240,13.2,13.2,14.0,13.9,
6/18/2016 10:15:37 AM,241,13.2,13.2,14.0,13.9,
6/18/2016 10:15:38 AM,242,13.2,13.2,14.0,13.9,
6/18/2016 10:15:39 AM,243,13.2,13.2,14.0,13.9,
6/18/2016 10:15:40 AM,244,13.2,13.2,14.0,13.9,
6/18/2016 10:15:41 AM,245,13.2,13.2,14.0,13.9,
6/18/2016 10:15:42 AM,246,13.2,13.2,14.0,13.9,
6/18/2016 10:15:43 AM,247,13.2,13.2,14.0,13.9,
6/18/2016 10:15:44 AM,248,13.2,13.2,14.0,13.9,
6/18/2016 10:15:45 AM,249,13.2,13.2,14.0,13.9,
6/18/2016 10:15:46 AM,250,13.2,13.2,14.0,13.9,
6/18/2016 10:15:47 AM,251,13.2,13.2,14.0,13.9,
6/18/2016 10:15:48 AM,252,13.2,13.2,14.0,13.9,
6/18/2016 10:15:49 AM,253,13.2,13.2,14.0,13.9,
6/18/2016 10:15:50 AM,254,13.2,13.2,14.0,13.9,
6/18/2016 10:15:51 AM,255,13.2,13.2,14.0,13.9,
6/18/2016 10:15:52 AM,256,13.2,13.2,14.0,13.9,
6/18/2016 10:15:53 AM,257,13.2,13.2,14.0,13.9,
6/18/2016 10:15:54 AM,258,13.2,13.2,14.0,13.9,
6/18/2016 10:15:55 AM,259,13.2,13.2,14.0,13.9,
6/18/2016 10:15:56 AM,260,13.2,13.2,14.0,13.9,
6/18/2016 10:15:57 AM,261,13.2,13.2,14.0,13.9,
6/18/2016 10:15:58 AM,262,13.2,13.2,14.0,13.9,
6/18/2016 10:15:59 AM,263,13.2,13.2,14.0,13.9,
6/18/2016 10:16:00 AM,264,13.2,13.2,14.0,13.9,
6/18/2016 10:16:01 AM,265,13.2,13.2,14.0,13.9,
6/18/2016 10:16:02 AM,266,13.2,13.2,14.0,13.9,
6/18/2016 10:16:03 AM,267,13.2,13.2,14.0,13.9,
6/18/2016 10:16:04 AM,268,13.2,13.2,14.0,13.9,
6/18/2016 10:16:05 AM,269,13.2,13.2,14.0,13.9,
6/18/2016 10:16:06 AM,270,13.2,13.2,14.0,13.9,
6/18/2016 10:16:07 AM,271,13.2,13.2,14.0,13.9,
6/18/2016 10:16:08 AM,272,13.2,13.2,14.0,13.9,
6/18/2016 10:16:09 AM,273,13.2,13.2,14.0,13.9,
6/18/2016 10:16:10 AM,274,13.2,13.2,14.0,13.9,
6/18/2016 10:16:11 AM,275,13.2,13.2,14.0,13.9,
6/18/2016 10:16:12 AM,276,13.2,13.2,14.0,13.9,
6/18/2016 10:16:13 AM,277,13.2,13.2,14.0,13.9,
6/18/2016 10:16:14 AM,278,13.2,13.2,14.0,13.9,
6/18/2016 10:16:15 AM,279,13.2,13.2,14.0,13.9,
6/18/2016 10:16:16 AM,280,13.2,13.2,14.0,13.9,
6/18/2016 10:16:17 AM,281,13.2,13.2,14.0,13.9,
6/18/2016 10:16:18 AM,282,13.2,13.2,14.0,13.9,
6/18/2016 10:16:19 AM,283,13.2,13.2,14.0,13.9,
6/18/2016 10:16:20 AM,284,13.2,13.2,14.0,13.9,
6/18/2016 10:16:21 AM,285,13.2,13.2,14.0,13.9,
6/18/2016 10:16:22 AM,286,13.2,13.2,14.0,13.9,
6/18/2016 10:16:23 AM,287,13.2,13.2,14.0,13.9,
